iter	Logloss
0	0.6782884909
1	0.6642599975
2	0.6520287096
3	0.6417830929
4	0.6348358868
5	0.6288925977
6	0.6221688246
7	0.617696451
8	0.6132293696
9	0.6077554345
10	0.6067359149
11	0.6023183794
12	0.6003624761
13	0.5985054113
14	0.5953760517
15	0.5926579696
16	0.588606601
17	0.5857597233
18	0.5834585385
19	0.5820146471
20	0.5790781276
21	0.5784577273
22	0.5776494934
23	0.5752524397
24	0.5744379809
25	0.5733856297
26	0.5717516567
27	0.5701332699
28	0.568293245
29	0.5673081852
30	0.5669831203
31	0.5669510277
32	0.5654579364
33	0.5643064597
34	0.5636231006
35	0.5618861822
36	0.5600272071
37	0.5583019041
38	0.55802386
39	0.5569095202
40	0.5562778351
41	0.5559534889
42	0.5552366044
43	0.5549508814
44	0.5529079743
45	0.5526511512
46	0.5503755397
47	0.5491538333
48	0.5480178641
49	0.5472075329
50	0.5453538983
51	0.5439116667
52	0.5433964443
53	0.542010163
54	0.5410281984
55	0.5407165878
56	0.5405835175
57	0.5393385573
58	0.5387699641
59	0.5380239931
60	0.5373703263
61	0.5370608717
62	0.536122355
63	0.5339858734
64	0.532212143
65	0.5314007795
66	0.5299900124
67	0.5291995274
68	0.5281415348
69	0.5267733492
70	0.5252446002
71	0.5247082156
72	0.5234490617
73	0.5221931889
74	0.5207615717
75	0.5198045076
76	0.5189449639
77	0.5183311812
78	0.5175099073
79	0.5171613819
80	0.5165323725
81	0.5152610483
82	0.5135122063
83	0.5128219008
84	0.512235106
85	0.510485465
86	0.5100081367
87	0.508869677
88	0.5076204688
89	0.507118399
90	0.505871696
91	0.5046622668
92	0.5036569293
93	0.5030798583
94	0.5017898026
95	0.5013909639
96	0.5003834761
97	0.4998145275
98	0.4992953294
99	0.4983919
