iter	Passed	Remaining
0	28	2843
1	49	2405
2	65	2119
3	82	1969
4	100	1905
5	111	1746
6	127	1699
7	140	1619
8	149	1513
9	163	1472
10	185	1498
11	199	1460
12	224	1503
13	251	1547
14	263	1491
15	282	1482
16	302	1477
17	315	1438
18	334	1425
19	360	1443
20	385	1450
21	405	1438
22	427	1430
23	446	1412
24	466	1399
25	478	1362
26	492	1331
27	522	1344
28	530	1297
29	555	1296
30	574	1278
31	589	1253
32	606	1232
33	629	1222
34	650	1208
35	673	1198
36	687	1169
37	706	1152
38	719	1125
39	746	1119
40	771	1110
41	791	1092
42	806	1069
43	828	1054
44	852	1041
45	867	1018
46	894	1008
47	939	1018
48	969	1009
49	993	993
50	1045	1004
51	1075	992
52	1097	972
53	1123	957
54	1146	938
55	1168	917
56	1193	900
57	1221	884
58	1247	866
59	1266	844
60	1287	823
61	1309	802
62	1327	779
63	1350	759
64	1373	739
65	1397	719
66	1419	699
67	1440	677
68	1461	656
69	1486	637
70	1515	618
71	1540	598
72	1567	579
73	1591	559
74	1615	538
75	1639	517
76	1664	497
77	1686	475
78	1707	453
79	1730	432
80	1752	410
81	1773	389
82	1798	368
83	1820	346
84	1840	324
85	1862	303
86	1882	281
87	1905	259
88	1927	238
89	1953	217
90	1976	195
91	1999	173
92	2020	152
93	2042	130
94	2067	108
95	2089	87
96	2112	65
97	2133	43
98	2154	21
99	2180	0
